                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2501,                0.97841,                 1.2704,                0.96641,                0.91304,                0.95157,                0.62465,                 1.2339,                0.68033,                 1.3382,             0.00066609,             0.00066609,             0.00066609
                      2,                 1.2299,                0.68647,                 1.2689,                0.97927,                0.92445,                0.96703,                0.64984,                 1.1768,                0.57409,                 1.3095,                0.00128,                0.00128,                0.00128
                      3,                  1.209,                 0.6449,                 1.2655,                0.98099,                0.92529,                0.96756,                0.65628,                 1.1679,                0.54102,                 1.2773,              0.0018411,              0.0018411,              0.0018411
                      4,                 1.1812,                0.60112,                 1.2437,                0.98232,                0.93591,                0.97224,                0.67055,                 1.1455,                0.51557,                  1.276,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.1647,                0.57888,                 1.2344,                0.97485,                0.94891,                 0.9784,                0.68439,                 1.1189,                0.48394,                 1.2518,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.1448,                0.55895,                 1.2232,                0.97546,                0.95058,                0.97852,                0.68784,                  1.128,                0.47457,                 1.2612,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.1297,                0.53998,                 1.2135,                0.97007,                0.95109,                0.97801,                0.68734,                 1.1156,                0.46548,                 1.2497,               0.001604,               0.001604,               0.001604
                      8,                 1.1208,                0.52708,                 1.2101,                0.97827,                0.95414,                0.98044,                0.68757,                 1.1121,                0.44634,                  1.244,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.0999,                0.51329,                 1.1969,                0.98261,                0.95707,                0.98261,                0.69264,                 1.1075,                0.43321,                 1.2455,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.0998,                0.50469,                 1.1938,                0.98046,                0.95924,                0.98155,                0.69804,                 1.0827,                0.42323,                 1.2251,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.0871,                0.49455,                 1.1904,                0.98213,                0.94946,                0.98352,                0.69625,                 1.1038,                0.42716,                 1.2309,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.0768,                0.48133,                 1.1798,                0.97747,                0.95815,                0.98403,                 0.7028,                 1.0833,                0.41417,                 1.2195,               0.001208,               0.001208,               0.001208
                     13,                 1.0714,                0.47123,                 1.1804,                0.98327,                0.95853,                0.98675,                0.70531,                 1.0855,                0.40606,                 1.2234,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.0695,                0.46573,                 1.1773,                0.97898,                0.96206,                0.98558,                0.70629,                 1.0904,                0.39673,                 1.2177,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.0515,                0.45655,                 1.1653,                0.97434,                0.96902,                0.98621,                0.70517,                 1.0791,                0.39722,                  1.209,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.0438,                0.41128,                 1.2289,                0.98231,                 0.9625,                0.98596,                0.71272,                 1.0753,                0.39288,                 1.2098,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.0358,                0.40613,                 1.2229,                 0.9861,                0.96396,                0.98655,                0.71504,                 1.0663,                0.38641,                 1.2042,               0.000812,               0.000812,               0.000812
                     18,                 1.0234,                0.39376,                 1.2123,                0.97617,                0.96848,                0.98932,                0.71533,                 1.0732,                0.38006,                 1.2047,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.0141,                0.39076,                  1.209,                0.98366,                0.96739,                0.98895,                0.72035,                 1.0718,                0.38229,                 1.2064,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.0033,                0.38202,                 1.2047,                0.98237,                0.96901,                0.99051,                 0.7195,                  1.069,                0.36794,                  1.203,              0.0005744,              0.0005744,              0.0005744
                     21,                0.99268,                0.37209,                 1.1948,                0.97923,                0.97174,                0.98833,                0.71953,                 1.0654,                0.36913,                 1.2009,              0.0004952,              0.0004952,              0.0004952
                     22,                0.98195,                0.36376,                 1.1896,                0.98519,                0.97283,                0.98907,                0.72307,                 1.0642,                0.36292,                 1.2016,               0.000416,               0.000416,               0.000416
                     23,                0.97102,                0.35512,                 1.1828,                0.98294,                0.97095,                0.98868,                0.72391,                 1.0697,                0.36182,                 1.2035,              0.0003368,              0.0003368,              0.0003368
                     24,                0.95708,                0.34546,                  1.172,                0.98134,                0.97154,                0.98983,                0.72403,                 1.0703,                0.36013,                 1.2023,              0.0002576,              0.0002576,              0.0002576
                     25,                0.94913,                0.34113,                 1.1678,                0.98292,                0.96972,                0.98883,                 0.7218,                 1.0704,                0.35991,                 1.2023,              0.0001784,              0.0001784,              0.0001784
